No.,Full Reference
31,"Han, H., Jia, Q., Wei, L., & Shen, J. (2014). Influence of Cu²⁺ concentration on the biohydrogen production of continuous stirred tank reactor. International Journal of Hydrogen Energy, 39(25), 13437–13442. https://doi.org/10.1016/j.ijhydene.2014.04.022"
32,"Ito, T., Nakashimada, Y., Senba, K., Matsui, T., & Nishio, N. (2005). Hydrogen and ethanol production from glycerol-containing wastes discharged after biodiesel manufacturing process. Journal of Bioscience and Bioengineering, 100(3), 260–265. https://doi.org/10.1263/jbb.100.260"
33,"Ivanova, G., Rákhely, G., & Kovács, K. L. (2009). Thermophilic biohydrogen production from energy plants by Caldicellulosiruptor saccharolyticus and comparison with related studies. International Journal of Hydrogen Energy, 34(9), 3659–3670. https://doi.org/10.1016/j.ijhydene.2009.02.082"
34,"Jain, R., Panwar, N. L., Jain, S. K., Gupta, T., Agarwal, C., & Meena, S. S. (2022). Bio-hydrogen production through dark fermentation: An overview. Biomass Conversion and Biorefinery, 14(12), 12699–12724. https://doi.org/10.1007/s13399-022-03282-7"
35,"Jariyaboon, R., Hayeeyunu, S., Usmanbaha, N., Ismail, S. B., O-Thong, S., Mamimin, C., & Kongjan, P. (2023). Thermophilic dark fermentation for simultaneous mixed volatile fatty acids and biohydrogen production from food waste. Fermentation, 9(7), 636. https://doi.org/10.3390/fermentation9070636"
36,"Kargi, F., & Pamukoglu, M. Y. (2009). Dark fermentation of ground wheat starch for bio-hydrogen production by fed-batch operation. International Journal of Hydrogen Energy, 34(7), 2940–2946. https://doi.org/10.1016/j.ijhydene.2008.12.101"
37,"Kargi, F., Eren, N. S., & Ozmihci, S. (2012). Bio-hydrogen production from cheese whey powder (CWP) solution: Comparison of thermophilic and mesophilic dark fermentations. International Journal of Hydrogen Energy, 37(10), 8338–8342. https://doi.org/10.1016/j.ijhydene.2012.02.162"
38,"Kim, S. (2004). Feasibility of biohydrogen production by anaerobic co-digestion of food waste and sewage sludge. International Journal of Hydrogen Energy. https://doi.org/10.1016/s0360-3199(04)00098-9"
39,"Kontodimos, I., Evaggelou, C., Margaritis, N., Grammelis, P., & Goula, M. (2025). Dark fermentation and anaerobic digestion for H₂ and CH₄ production from food waste leachates. Methane, 4(2), 11. https://doi.org/10.3390/methane4020011"
40,"Kotsopoulos, T. A., Zeng, R. J., & Angelidaki, I. (2006). Biohydrogen production in granular up-flow anaerobic sludge blanket (UASB) reactors with mixed cultures under hyper-thermophilic temperature (70°C). Biotechnology and Bioengineering, 94(2), 296–302. https://doi.org/10.1002/bit.20844"
41,"Kumar, N., & Das, D. (2000). Enhancement of hydrogen production by Enterobacter cloacae IIT-BT 08. Process Biochemistry, 35(6), 589–593. https://doi.org/10.1016/s0032-9592(99)00109-0"
42,"Lee, D., Li, Y., & Noike, T. (2009). Influence of solids retention time on continuous H₂ production using membrane bioreactor. International Journal of Hydrogen Energy, 35(1), 52–60. https://doi.org/10.1016/j.ijhydene.2009.10.010"
43,"Lee, D., Xu, K., Kobayashi, T., Li, Y., & Inamori, Y. (2014). Effect of organic loading rate on continuous hydrogen production from food waste in submerged anaerobic membrane bioreactor. International Journal of Hydrogen Energy, 39(30), 16863–16871. https://doi.org/10.1016/j.ijhydene.2014.08.022"
44,"Lee, K., Lo, Y., Lin, P., & Chang, J. (2006). Improving biohydrogen production in a carrier-induced granular sludge bed by altering physical configuration and agitation pattern of the bioreactor. International Journal of Hydrogen Energy, 31(12), 1648–1657. https://doi.org/10.1016/j.ijhydene.2005.12.020"
45,"Levin, D., Islam, R., Cicek, N., & Sparling, R. (2006). Hydrogen production by Clostridium thermocellum 27405 from cellulosic biomass substrates. International Journal of Hydrogen Energy, 31(11), 1496–1503. https://doi.org/10.1016/j.ijhydene.2006.06.015"
46,"Li, X., Guo, L., Liu, Y., Wang, Y., She, Z., Gao, M., & Zhao, Y. (2020). Effect of salinity and pH on dark fermentation with thermophilic bacteria pretreated swine wastewater. Journal of Environmental Management, 271, 111023. https://doi.org/10.1016/j.jenvman.2020.111023"
47,"Lin, C. Y., & Chang, R. C. (2003). Fermentative hydrogen production at ambient temperature. International Journal of Hydrogen Energy, 29(7), 715–720. https://doi.org/10.1016/j.ijhydene.2003.09.002"
48,"Liu, C., Zheng, J., Wu, S., & Chu, C. (2015). Fermentative hydrogen production potential from washing wastewater of beverage production process. International Journal of Hydrogen Energy, 41(7), 4466–4473. https://doi.org/10.1016/j.ijhydene.2015.08.079"
49,"Liu, H., Wang, G., Zhu, D., & Pan, G. (2009). Enrichment of the hydrogen-producing microbial community from marine intertidal sludge by different pretreatment methods. International Journal of Hydrogen Energy, 34(24), 9696–9701. https://doi.org/10.1016/j.ijhydene.2009.10.025"
50,"Luo, G., Xie, L., Zou, Z., Zhou, Q., & Wang, J. (2010). Fermentative hydrogen production from cassava stillage by mixed anaerobic microflora: Effects of temperature and pH. Applied Energy, 87(12), 3710–3717. https://doi.org/10.1016/j.apenergy.2010.07.004"
51,"Łukajtis, R., Hołowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kamiński, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043"
52,"Mandal, B., Nath, K., & Das, D. (2006). Improvement of biohydrogen production under decreased partial pressure of H₂ by Enterobacter cloacae. Biotechnology Letters, 28(11), 831–835. https://doi.org/10.1007/s10529-006-9008-8"
53,"Mars, A. E., Veuskens, T., Budde, M. A., Van Doeveren, P. F., Lips, S. J., Bakker, R. R., De Vrije, T., & Claassen, P. A. (2010). Biohydrogen production from untreated and hydrolyzed potato steam peels by Caldicellulosiruptor saccharolyticus and Thermotoga neapolitana. International Journal of Hydrogen Energy, 35(15), 7730–7737. https://doi.org/10.1016/j.ijhydene.2010.05.063"
54,"Martins, I., Surra, E., Ventura, M., & Lapa, N. (2022). BioH₂ from dark fermentation of OFMSW: Effect of the hydraulic retention time and organic loading rate. Applied Sciences, 12(9), 4240. https://doi.org/10.3390/app12094240"
55,"Massanet-Nicolau, J., Guwy, A., Dinsdale, R., Premier, G., & Esteves, S. (2009). Production of hydrogen from sewage biosolids in a continuously fed bioreactor: Effect of hydraulic retention time and sparging. International Journal of Hydrogen Energy, 35(2), 469–478. https://doi.org/10.1016/j.ijhydene.2009.10.076"
56,"Morimoto, M., Atsuko, M., Atif, A., Ngan, M., Fakhru'l-Razi, A., Iyuke, S., & Bakir, A. (2003). Biological production of hydrogen from glucose by natural anaerobic microflora. International Journal of Hydrogen Energy, 29(7), 709–713. https://doi.org/10.1016/j.ijhydene.2003.09.009"
57,"Muri, P., Osojnik-Crnivec, I. G., Djinovic, P., & Pintar, A. (2016). Biohydrogen production from simple carbohydrates with optimization of operating parameters. Acta Chimica Slovenica, 63(1), 154–164. https://doi.org/10.17344/acsi.2015.2085"
58,"Nam, J., Kim, D., Kim, S., Lee, W., Shin, H., & Kim, H. (2015). Harnessing dark fermentative hydrogen from pretreated mixture of food waste and sewage sludge under sequencing batch mode. Environmental Science and Pollution Research, 23(8), 7155–7161. https://doi.org/10.1007/s11356-015-4880-1"
59,"Nathao, C., Sirisukpoka, U., & Pisutpaisal, N. (2013). Production of hydrogen and methane by one and two stage fermentation of food waste. International Journal of Hydrogen Energy, 38(35), 15764–15769. https://doi.org/10.1016/j.ijhydene.2013.05.047"
60,"Nguyen, T. D., Han, S. J., Kim, J. P., Kim, M. S., Oh, Y. K., & Sim, S. J. (2008). Hydrogen production by the hyperthermophilic eubacterium, Thermotoga neapolitana, using cellulose pretreated by ionic liquid. International Journal of Hydrogen Energy, 33(19), 5161–5168. https://doi.org/10.1016/j.ijhydene.2008.05.019"
61,"Okonkwo, O. (2019). Enhancement of thermophilic dark fermentative hydrogen production and the use of molecular biology methods for bioprocess monitoring (Doctoral thesis, Tampere University). https://theses.hal.science/tel-03066328"
62,"Ottaviano, L. M., Ramos, L. R., Botta, L. S., Varesche, M. B. A., & Silva, E. L. (2016). Continuous thermophilic hydrogen production from cheese whey powder solution in an anaerobic fluidized bed reactor: Effect of hydraulic retention time and initial substrate concentration. International Journal of Hydrogen Energy, 42(8), 4848–4860. https://doi.org/10.1016/j.ijhydene.2016.11.168"
63,"Pan, J., Zhang, R., Elmashad, H., Sun, H., & Ying, Y. (2008). Effect of food to microorganism ratio on biohydrogen production from food waste via anaerobic fermentation. International Journal of Hydrogen Energy, 33(23), 6968–6975. https://doi.org/10.1016/j.ijhydene.2008.07.130"
64,"Panagiotopoulos, I., Bakker, R., De Vrije, T., Koukios, E., & Claassen, P. (2010). Pretreatment of sweet sorghum bagasse for hydrogen production by Caldicellulosiruptor saccharolyticus. International Journal of Hydrogen Energy, 35(15), 7738–7747. https://doi.org/10.1016/j.ijhydene.2010.05.075"
65,"Pendyala, B., Chaganti, S. R., Lalman, J. A., Shanmugam, S. R., Heath, D. D., & Lau, P. C. (2012). Pretreating mixed anaerobic communities from different sources: Correlating the hydrogen yield with hydrogenase activity and microbial diversity. International Journal of Hydrogen Energy, 37(17), 12175–12186. https://doi.org/10.1016/j.ijhydene.2012.05.105"
66,"Rydén, M., & Lyngfelt, A. (2006). Using steam reforming to produce hydrogen with carbon dioxide capture by chemical-looping combustion. International Journal of Hydrogen Energy, 31(10), 1271–1283. https://doi.org/10.1016/j.ijhydene.2005.12.003"
67,"Shen, L., Zhou, Y., Mahendran, B., Bagley, D. M., & Liss, S. N. (2010). Membrane fouling in a fermentative hydrogen producing membrane bioreactor at different organic loading rates. Journal of Membrane Science, 360(1–2), 226–233. https://doi.org/10.1016/j.memsci.2010.05.019"
68,"Slezak, R., Grzelak, J., Krzystek, L., & Ledakowicz, S. (2017). The effect of initial organic load of the kitchen waste on the production of VFA and H₂ in dark fermentation. Waste Management, 68, 610–617. https://doi.org/10.1016/j.wasman.2017.06.024"
69,"Sun, L., Huang, A., Gu, W., Ma, Y., Zhu, D., & Wang, G. (2014). Hydrogen production by Enterobacter cloacae isolated from sugar refinery sludge. International Journal of Hydrogen Energy, 40(3), 1402–1407. https://doi.org/10.1016/j.ijhydene.2014.11.121"
70,"Tang, G., Huang, J., Sun, Z., Tang, Q., Yan, C., & Liu, G. (2008). Biohydrogen production from cattle wastewater by enriched anaerobic mixed consortia: Influence of fermentation temperature and pH. Journal of Bioscience and Bioengineering, 106(1), 80–87. https://doi.org/10.1263/jbb.106.80"
71,"Tapia-Venegas, E., Ramirez, J. E., Donoso-Bravo, A., Jorquera, L., Steyer, J., & Ruiz-Filippi, G. (2012). Bio-hydrogen production during acidogenic fermentation in a multistage stirred tank reactor. International Journal of Hydrogen Energy, 38(5), 2185–2190. https://doi.org/10.1016/j.ijhydene.2012.11.077"
72,"Trad, Z., Akimbomi, J., Vial, C., Larroche, C., Taherzadeh, M. J., & Fontaine, J. (2015). Development of a submerged anaerobic membrane bioreactor for concurrent extraction of volatile fatty acids and biohydrogen production. Bioresource Technology, 196, 290–300. https://doi.org/10.1016/j.biortech.2015.07.095"
73,"Tsigkou, K., Tsafrakidou, P., Athanasopoulou, S., Zafiri, C., & Kornaros, M. (2019). Effect of pH on the anaerobic fermentation of fruit/vegetables and disposable nappies hydrolysate for bio-hydrogen production. Waste and Biomass Valorization, 11(2), 539–551. https://doi.org/10.1007/s12649-019-00854-z"
74,"Valdezvazquez, I., Riosleal, E., Esparzagarcia, F., Cecchi, F., & Poggivaraldo, H. (2004). Semi-continuous solid substrate anaerobic reactors for H₂ production from organic waste. International Journal of Hydrogen Energy, 30(13–14), 1383–1391. https://doi.org/10.1016/j.ijhydene.2004.09.016"
75,"Veeravalli, S. S., Chaganti, S. R., Lalman, J. A., & Heath, D. D. (2014). Fermentative H₂ production using a switchgrass steam exploded liquor fed to mixed anaerobic cultures. International Journal of Hydrogen Energy, 39(19), 9994–10002. https://doi.org/10.1016/j.ijhydene.2014.04.114"
76,"Wang, J., & Wan, W. (2008). Comparison of different pretreatment methods for enriching hydrogen-producing bacteria from digested sludge. International Journal of Hydrogen Energy, 33(12), 2934–2941. https://doi.org/10.1016/j.ijhydene.2008.03.048"
77,"Wang, J., & Yin, Y. (2018). Fermentative hydrogen production using various biomass-based materials as feedstock. Renewable and Sustainable Energy Reviews, 92, 284–306. https://doi.org/10.1016/j.rser.2018.04.033"
78,"Yang, H., Shen, J., Li, H., & Chou, M. (2006). Bio-hydrogen production from citric acid wastewater. Energy Sources Part A: Recovery Utilization and Environmental Effects, 28(1), 1–14. https://doi.org/10.1080/009083190899960"
79,"Zagklis, D., Papadionysiou, M., Tsigkou, K., Tsafrakidou, P., Zafiri, C., & Kornaros, M. (2021). Effect of pH on the economic potential of dark fermentation products from used disposable nappies and expired food products. Applied Sciences, 11(9), 4099. https://doi.org/10.3390/app11094099"
80,"Zahedi, S., Sales, D., Romero, L. I., & Solera, R. (2012). Optimisation of single-phase dry-thermophilic anaerobic digestion under high organic loading rates of municipal solid waste: Population dynamics. Bioresource Technology, 116, 215–221. https://doi.org/10.1016/j.biortech.2012.04.033"
81,"Zhang, M., Fan, Y., Xing, Y., Pan, C., Zhang, G., & Lay, J. (2006). Enhanced biohydrogen production from cornstalk wastes with acidification pretreatment by mixed anaerobic cultures. Biomass and Bioenergy, 31(4), 250–254. https://doi.org/10.1016/j.biombioe.2006.08.004"
82,"Zhi, Z., & Wang, H. (2014). White-rot fungal pretreatment of wheat straw with Phanerochaete chrysosporium for biohydrogen production. Bioprocess and Biosystems Engineering, 37(7), 1447–1458. https://doi.org/10.1007/s00449-013-1117-x"
83,"Zhu, H., & Beland, M. (2006). Evaluation of alternative methods of preparing hydrogen producing seeds from digested wastewater sludge. International Journal of Hydrogen Energy, 31(14), 1980–1988. https://doi.org/10.1016/j.ijhydene.2006.01.019"
84,"Levin, D., Islam, R., Cicek, N., & Sparling, R. (2006). Hydrogen production by Clostridium thermocellum 27405 from cellulosic biomass substrates. International Journal of Hydrogen Energy, 31(11), 1496–1503. https://doi.org/10.1016/j.ijhydene.2006.06.015"
85,"Gómez, X., Morán, A., Cuetos, M. J., & Sánchez, M. E. (2006). The production of hydrogen by dark fermentation as a function of organic substrate and initial pH conditions. Journal of Power Sources, 157(2), 727–732. https://doi.org/10.1016/j.jpowsour.2006.01.087"
