,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
,Sucrose 20 g COD/dm³,Mixed culture,Batch reactor ,5.5,34,"10.02 mol 
H2/mol sucrose","Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110024","(Baeyens et al., 2020)",https://sci-hub.se/https://doi.org/10.1016/j.rser.2020.110023 ,"Baeyens, J., Zhang, H., Nie, J., Appels, L., Dewil, R., Ansart, R., & Deng, Y. (2020). Reviewing the potential of bio-hydrogen production by fermentation. Renewable and Sustainable Energy Reviews, 131, 110023. https://doi.org/10.1016/j.rser.2020.110023","(Baeyens et al., 2020)",
,Sucrose 25 g/dm³,E. cloacae IIT-BT 08,Batch,5.5,34,2.00 mol-H 2 /mol-glucos,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Lactose 29 mmol/dm³,C. termolactium,CSTR Continuous,5.8,34,1.5 mol H2/mol lactose,"Collet, C. (2004). Hydrogen production by Clostridium thermolacticum during continuous fermentation of lactose. International Journal of Hydrogen Energy, 29(14), 1479–1485. https://doi.org/10.1016/j.ijhydene.2004.02.009","(Collet, 2004)",https://sci-hub.se/10.1016/j.ijhydene.2004.02.009,,,
,D-Xylose 10 g/dm³,E. cloacae IIT-BT 08,Batch,6,36,0.95 mol H2/mol xylose,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,L-Arabinose 10 g/dm³,E. cloacae IIT-BT 08,Batch,6,36,1.5 mol H2/mol arabinose,"Bundhoo, M. Z., Mohee, R., & Hassan, M. A. (2015). Effects of pre-treatment technologies on dark fermentative biohydrogen production: A review. Journal of Environmental Management, 157, 20–48. https://doi.org/10.1016/j.jenvman.2015.04.006","(Bundhoo et al., 2015)",https://sci-hub.se/https://doi.org/10.1016/j.jenvman.2015.04.006,,,
,"Kitchen waste: 66% food waste, 27% vegetable waste, 0.09% tea waste, 1.09% egg shells, 1.36% packing materials, 3.61% ash",Mixed cultures,Inclined plug flow reactor / Continuous,5.5,37,76 cm³ H2/g VS,"Slezak, R., Grzelak, J., Krzystek, L., & Ledakowicz, S. (2017). The effect of initial organic load of the kitchen waste on the production of VFA and H 2 in dark fermentation. Waste Management, 68, 610–617. https://doi.org/10.1016/j.wasman.2017.06.024","(Slezak et al., 2017)",https://sci-hub.se/10.1016/j.wasman.2017.06.024,,,
,Organic municipal solid waste 110 g TVS/dm³,Mixed cultures,CSTR / Semi-continuous,5.7,55,70.7 cm³ H2/g VS,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Organic municipal waste mixed with poultry slaughterhouse waste 70.8 g/dm³,Mesophilic anaerobic sludge,Erlenmeyer flask / Continuous,6,60–37,71.3 cm³ H2/g VS,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.044","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.044,,,
,Kitchen garbage,Anaerobic digester sludge,CSTR / Continuous,5.0–5.5,55,66 cm³ H2/g VS,"Chu, C., Xu, K., Li, Y., & Inamori, Y. (2012). Hydrogen and methane potential based on the nature of food waste materials in a two-stage thermophilic fermentation process. International Journal of Hydrogen Energy, 37(14), 10611–10618. https://doi.org/10.1016/j.ijhydene.2012.04.048","(Chu et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.04.048,,,
,"Synthetic food waste (rice, vegetables, meat) 30 g COD/dm³",Anaerobic sludge from UASB treating cassava wastewater,Batch / Two-stage,6,37,57 cm³ H2/g VS,"Nathao, C., Sirisukpoka, U., & Pisutpaisal, N. (2013). Production of hydrogen and methane by one and two stage fermentation of food waste. International Journal of Hydrogen Energy, 38(35), 15764–15769. https://doi.org/10.1016/j.ijhydene.2013.05.047",(Nathao et al. 2013),https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2013.05.047,,,
,"Potato steam peels, beet pulp, carrot peels, banana peels, dried fruits, bread, fruit, vegetable, fish",Mixed culture from anaerobic sludge,Batch / Batch,6.9,55,3.8 mol H2/mol glucose,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.044","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.044,,,
,Simulated food waste,Anaerobic digester sludge,CSTR / Continuous,5.1–5.5,34,20.5 cm³ H2/kg VS,"Redondas, V., Gómez, X., García, S., Pevida, C., Rubiera, F., Morán, A., & Pis, J. (2011). Hydrogen production from food wastes and gas post-treatment by CO2 adsorption. Waste Management, 32(1), 60–66. https://doi.org/10.1016/j.wasman.2011.09.003","(Redondas et al., 2011)",https://sci-hub.se/https://doi.org/10.1016/j.wasman.2011.09.003,,,
,Kitchen waste from several cafeterias 50 g COD/dm³,Anaerobic sludge from batch operation,Batch / Batch,5.5,55,NA,"Yasin, N. H. M., Rahman, N. A., Man, H. C., Yusoff, M. Z. M., & Hassan, M. A. (2011). Microbial characterization of hydrogen-producing bacteria in fermented food waste at different pH values. International Journal of Hydrogen Energy, 36(16), 9571–9580. https://doi.org/10.1016/j.ijhydene.2011.05.048","(Yasin et al., 2011)",https://sci-hub.se/10.1016/j.ijhydene.2011.05.048,,,
,Mixed food waste from residential homes,Anaerobic sludge from batch operation,Batch / Batch,7.5,55,57 cm³ H2/g VS,"Pan, J., Zhang, R., Elmashad, H., Sun, H., & Ying, Y. (2008). Effect of food to microorganism ratio on biohydrogen production from food waste via anaerobic fermentation. International Journal of Hydrogen Energy, 33(23), 6968–6975. https://doi.org/10.1016/j.ijhydene.2008.07.130","(Pan et al., 2008)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2008.07.130,,,
,Raw cassava starch,Facultative anaerobic sludge,Batch / Batch,5.7,35,1.44 mol H2/mol,"Wang, S., Ma, Z., Zhang, T., Bao, M., & Su, H. (2017). Optimization and modeling of biohydrogen production by mixed bacterial cultures from raw cassava starch. Frontiers of Chemical Science and Engineering, 11(1), 100–106. https://doi.org/10.1007/s11705-017-1617-3","(Wang et al., 2017)",https://sci-hub.se/https://doi.org/10.1007/s11705-017-1617-3,,,
,"Mixture of slaughterhouse waste, food industry residues, hydrolyzing yeast and manure 28.2 g substrate/dm³",Mixed cultures,CSTR / Continuous,6.8,55,16.5 cm³H2/g waste,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043",,,,,
,Cheese whey 20 g/dm³,Mixed cultures,Batch,5.2,35°C,0.98 mol H2/mol glucose used,"Ottaviano, L. M., Ramos, L. R., Botta, L. S., Varesche, M. B. A., & Silva, E. L. (2016). Continuous thermophilic hydrogen production from cheese whey powder solution in an anaerobic fluidized bed reactor: Effect of hydraulic retention time and initial substrate concentration. International Journal of Hydrogen Energy, 42(8), 4848–4860. https://doi.org/10.1016/j.ijhydene.2016.11.168","(Ottaviano et al., 2016)",https://sci-hub.se/10.1016/j.ijhydene.2016.11.168 ,,,
,Cheese whey wastewater 10 g/dm³,Mixed cultures (anaerobic bacteria from UASB reactor),Batch,4.5,55,3.1 mol H2/mol lactose,"Azbar, N., Dokgöz, F. T., Keskin, T., Eltem, R., Korkmaz, K. S., Gezgin, Y., Akbal, Z., Öncel, S., Dalay, M. C., Gönen, Ç., & Tutuk, F. (2009). Comparative evaluation of Bio-Hydrogen production from cheese whey wastewater under thermophilic and mesophilic anaerobic conditions. International Journal of Green Energy, 6(2), 192–200. https://doi.org/10.1080/15435070902785027","Azbar et al., 2009",https://sci-hub.se/10.1080/15435070902785027,,,
,Glycerol-containing waste from biodiesel production (Glycerol content 1.7 g/dm³),Enterobacter aerogenes HU-101,Packed Bed Continuous,6.8,37°C,1.12 mol H2/mol glycerol,"Ito, T., Nakashimada, Y., Senba, K., Matsui, T., & Nishio, N. (2005). Hydrogen and ethanol production from glycerol-containing wastes discharged after biodiesel manufacturing process. Journal of Bioscience and Bioengineering, 100(3), 260–265. https://doi.org/10.1263/jbb.100.260","(Ito et al., 2005)",https://sci-hub.se/https://www.sciencedirect.com/science/article/abs/pii/S1389172305704631,,,
,Palm oil mill effluent 59 g COD/dm³,Mixed cultures (isolated from cow dung),USAB Continuous,5,35,4.71 m³ H2 / m³ POME,"Vijayaraghavan, K., & Ahmad, D. (2006). Biohydrogen generation from palm oil mill effluent using anaerobic contact filter. International Journal of Hydrogen Energy, 31(10), 1284–1291. https://doi.org/10.1016/j.ijhydene.2005.12.002","(Vijayaraghavan & Ahmad, 2006)
",https://sci-hub.se/10.1016/j.ijhydene.2005.12.002,,,
,Byproduct of biodiesel production from sunflower oil 25 g COD/dm³,Mixed cultures (from anaerobic digester),UFCB Continuous,6.8,35,0.52 mol H2/mol glycerol,"Dounavis, A. S., Ntaikou, I., & Lyberatos, G. (2015). Production of biohydrogen from crude glycerol in an upflow column bioreactor. Bioresource Technology, 198, 701–708. https://doi.org/10.1016/j.biortech.2015.09.072","(Dounavis et al., 2015)
",https://sci-hub.se/https://doi.org/10.1016/j.biortech.2015.09.072,,,
,Wastewater from brewery plant 60 g carbohydrates/dm³,Mixed cultures (from activated sludge),Batch,5.5,35,2 mol H2/mol hexose,"Chu, C., Tung, L., & Lin, C. (2013). Effect of substrate concentration and pH on biohydrogen production kinetics from food industry wastewater by mixed culture. International Journal of Hydrogen Energy, 38(35), 15849–15855. https://doi.org/10.1016/j.ijhydene.2013.07.088","(Chu et al., 2013)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2013.07.088,,,
,Jatropha curcas—biodiesel industry residue,Mixed cultures (from activated sludge),CSTR Continuous,5.5,37,148 cm³ H2/g carbohydrate,"Kumar, G., Sen, B., Sivagurunathan, P., & Lin, C. (2016). High rate hydrogen fermentation of cello-lignin fraction in de-oiled jatropha waste using hybrid immobilized cell system. Fuel, 182, 131–140. https://doi.org/10.1016/j.fuel.2016.05.088","(Kumar et al., 2016)",https://sci-hub.se/https://doi.org/10.1016/j.fuel.2016.05.088,,,
,Waste glycerol (including E. aerogenes ATCC 13048),Mixed cultures,Batch Continuous,5.5,37,324 mmol H2/gmol H2/h,"Reungsang, A., Sittijunda, S., & O-Thong, S. (2013). Bio-hydrogen production from glycerol by immobilized Enterobacter aerogenes ATCC 13048 on heat-treated UASB granules as affected by organic loading rate. International Journal of Hydrogen Energy, 38(17), 6970–6979. https://doi.org/10.1016/j.ijhydene.2013.03.082","(Reungsang et al., 2013)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2013.03.082,,,
,Citric acid wastewater 18 g COD/dm³,USAB Continuous,Acetic acid > propionic acid,7,36,0.84 mol H2/mol hexose,"Slezak, R., Grzelak, J., Krzystek, L., & Ledakowicz, S. (2017). The effect of initial organic load of the kitchen waste on the production of VFA and H 2 in dark fermentation. Waste Management, 68, 610–617. https://doi.org/10.1016/j.wasman.2017.06.024","(Slezak et al., 2017)",https://sci-hub.se/10.1016/j.wasman.2017.06.024 ,,,
,Cassava starch wastewater 25 g COD/dm³,Mixed cultures (granules and sediment from USAB reactor),Batch Continuous,5.5,30°C,1.58 mol H2/mol hexose,"Azbar, N., Dokgöz, F. T., Keskin, T., Eltem, R., Korkmaz, K. S., Gezgin, Y., Akbal, Z., Öncel, S., Dalay, M. C., Gönen, Ç., & Tutuk, F. (2009). Comparative evaluation of Bio-Hydrogen production from cheese whey wastewater under thermophilic and mesophilic anaerobic conditions. International Journal of Green Energy, 6(2), 192–200. https://doi.org/10.1080/15435070902785027","(Azbar et al., 2009)",https://sci-hub.se/10.1080/15435070902785027,,,
,Palm oil decanter cake with wastewater,Mixed cultures,Batch and semi-continuous,7,55°C,313.41 mL H2 / g Tsremoval,"Kanchanasuta, S., Kittipongpattana, K., & Pisutpaisal, N. (2017). Improvement of Biohydrogen Fermentation by Co-digestion of Crude Glycerol with Palm Oil Decanter Cake. DOAJ (DOAJ: Directory of Open Access Journals). https://doi.org/10.3303/cet1757328","(Kanchanasuta et al., 2017)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.aidic.it/eff2017/program/75kanchanasuta.pdf,,,
,Cornstalk 20g/dm³,Thermoanaerobacterium thermosaccharolyticum DD32,Batch,5.5,55°C,6.38 mmol/g substrate,"Sheng, T., Gao, L., Zhao, L., Liu, W., & Wang, A. (2015). Direct hydrogen production from lignocellulose by the newly isolated Thermoanaerobacterium thermosaccharolyticum strain DD32. RSC Advances, 5(121), 99781–99788. https://doi.org/10.1039/c5ra20000h","(Sheng et al., 2015)",https://sci-hub.se/https://pubs.rsc.org/en/content/articlelanding/2015/ra/c5ra20000h,,,
,Rice straw 1% w/v,Thermotoga neapolitana (DSM 4539),Batch,7.5,75°C,2.27 mmol H2/g straw,"Nguyen, T. D., Kim, K., Kim, M. S., & Sim, S. J. (2010). Thermophilic hydrogen fermentation from Korean rice straw by Thermotoga neapolitana. International Journal of Hydrogen Energy, 35(24), 13392–13398. https://doi.org/10.1016/j.ijhydene.2009.11.112","(Nguyen et al., 2010)",https://sci-hub.se/10.1016/j.ijhydene.2009.11.112 ,,,
,Rice straw 90 g/dm³,Mixed cultures from sewage sludge,Batch,5.5,55°C,24.8 cm³ H2/g DB,"Chen, C., Chuang, Y., Lin, C., Lay, C., & Sen, B. (2012). Thermophilic dark fermentation of untreated rice straw using mixed cultures for hydrogen production. International Journal of Hydrogen Energy, 37(20), 15540–15546. https://doi.org/10.1016/j.ijhydene.2012.01.036","(Chen et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.01.036 ,,,
,Wheat straw 5 g/dm³,Thermoanaerobacterium thermosaccharolyticum M18,Batch,7.5,60°C,3.53 mmol/g substrate,"Cao, G., Zhao, L., Wang, A., Wang, Z., & Ren, N. (2014). Single-step bioconversion of lignocellulose to hydrogen using novel moderately thermophilic bacteria. Biotechnology for Biofuels, 7(1). https://doi.org/10.1186/1754-6834-7-82",,https://sci-hub.se/10.1007/978-3-030-61837-7_4,,,
,Grass,Mixed cultures,Batch,7,35°C,4.39 cm³/g.S,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Barley hulls 5 g/dm³,Clostridium thermocellum ATCC 27405,Batch,7,60°C,1.07 mmol H2/g substrate,"Magnusson, L., Islam, R., Sparling, R., Levin, D., & Cicek, N. (2008). Direct hydrogen production from cellulosic waste materials with a single-step dark fermentation process. International Journal of Hydrogen Energy, 33(20), 5398–5403. https://doi.org/10.1016/j.ijhydene.2008.06.018...........................Ren, N., Zhao, L., Chen, C., Guo, W., & Cao, G. (2016). A review on bioconversion of lignocellulosic biomass to H2: Key challenges and new insights. Bioresource Technology, 215, 92–99. https://doi.org/10.1016/j.biortech.2016.03.124","(Magnusson et al., 2008)  ….....   (Ren et al., 2016)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2008.06.018 ,https://sci-hub.se/https://doi.org/10.1016/j.biortech.2016.03.124,,
,Switchgrass 30 g/dm³,Caldicellulosiruptor saccharolyticus DSM 8903,Batch,6.5,65°C,310 cm³ H2/g DB,"Talluri, S., Raj, S. M., & Christopher, L. P. (2013). Consolidated bioprocessing of untreated switchgrass to hydrogen by the extreme thermophile Caldicellulosiruptor saccharolyticus DSM 8903. Bioresource Technology, 139, 272–279. https://doi.org/10.1016/j.biortech.2013.04.005   .......................Sitara, A., Hocq, R., Horvath, J., & Pflügl, S. (2024). Industrial biotechnology goes thermophilic: Thermoanaerobes as promising hosts in the circular carbon economy. Bioresource Technology, 408, 131164. https://doi.org/10.1016/j.biortech.2024.131164","(Sitara et al., 2024) ….........(Talluri et al., 2013)",chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://pdf.sciencedirectassets.com/271750/1-s2.0-S0959652620X00217/1-s2.0-S0959652620325683/am.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEPX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIDZAR8pCgCozn9fSlrllZZYrEGS90CJQH0BLPPa6vUS4AiBgPI3mjFTnRDEG5TUrrSUskMb3iTqvLtIRlaacHRf1aCq8BQjt%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMgcf8kL%2B9DTkqguW%2FKpAFg5T9qIHPaIN6QRTkJzEZ6DJpFusJ3ZFDwvvCCPjmR7Lx1Nnq84iqRgSOhVQKpywi6IUK0r53kWXPKyrPsoNtQ8q54Dht7k6eHu1Pua0PCqK9A5jR3FTIeZA3WZyPznqcVo31ApMRaZ3nfKebwnHl7XioZkWolu3Sn2Li7yMY5UTAQJYCvL77DLAZUsm7y3%2BEr1pqXJQGGY7cEMXOrwwe56MiPjRvj91voszuGhA3p2dW8v01NvnHVVHoWxR8jJZ9Q3zDcc70V1PJNxJUCY%2Bn9KW669aVsOfVt%2FHq8dovosXtMBSO8r4ATLT3j1smOpOhVkuN73URpCiRUN1aGu%2FeGRKn9oMgCeUI%2Fj2xB%2B3yFYU1rVdwGZXnwNCYnyRenD5Fwtyikd08uDhaZoq%2F1%2BiTkZIslzwLEDO4rfSCZaGd79MQ%2B11uK%2Br7J9SGjA2ZKc5CAD8lmrr%2BSSKCY7h3oOoCjyjBZWX5ZIIdy1FrPzUG3H2omLgZu4BpqdOUpfIttl1BVhMK6U7IjS94hW8IAqC%2BkvFYY%2BxDGO0v78PhtP6eUt0qB55jebsvlIbe3mnN4Slie2SKLjVQPeFferWcAsdq0GH5%2F8Q1SZDSg4%2BwkHZMe6Ap07m7HfBobsV3PstGQyDnaPdJbfRQmAHyAxhZPRcGn71nYuUZOvutqTpytjFhg9J14zQ2fIppdH4NqQ1tPPivyVsjos1avaMOXFr2yYud6NcemV3%2FknWq9AJqbnWBND3UTKofy0bjSEYS3hKEtMUDuCY2084SwNPT2OKPViLJZISt%2BNir3g%2F6BVQUU13stM1TFbu3%2Be0PfhE9Tkj2nwXbAyj3N8%2BPE1xHJ%2FjRCx4QD5q7s2tyjsU6mOq3wWm4mjMwt8iUwwY6sgFD8FdbNy6oWHCDDKZZmHbAfAJBts6Om13KgC3d7RftxxRcnMm4Zx7KM0ih3Oz4LNLhMlXm546G9tEo5jRnDrJC%2FJaRfswd2lAkPf%2BvA3d58ZhK3xJFdEtpXzyft0V1ymO5Bs%2BoVNfZhtsn0nO6558bIom6kQDArLNVSbpGgCqOoKe6TWT9ILksQRwoCm0il72KlHfxeOIxItlMX4wTDtUjWCeOd%2Bb1qh0bVSPEb3poLwoP&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250702T125108Z&X-Amz-SignedHeaders=host&X-Amz-Expires=299&X-Amz-Credential=ASIAQ3PHCVTYTOMKHDDZ%2F20250702%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=56e9ff16523c4c7840f20c0ff9fa7ce7fcf218842f3f9686d3eb8f1608706158&hash=4c512e6f86a737921314972e8686b11b00968449b3c63371f5fa5c9909086021&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0959652620325683&tid=pdf-fd44b0fb-0d03-41ad-b1a1-cd9ac598e3af&sid=7635f8ee3fd7584f3d9b8fd4deb3e57d6ce3gxrqb&type=client,,,
,Cornstalk 15g/dm³,Clostridium sartagoforme FZ11,Batch,7.5,35-45°C,87.2 cm³/g-substrate,"Zhang, J., Li, Y., Zheng, H., Fan, Y., & Hou, H. (2015). Direct degradation of cellulosic biomass to bio-hydrogen from a newly isolated strain Clostridium sartagoforme FZ11. Bioresource Technology, 192, 60–67. https://doi.org/10.1016/j.biortech.2015.05.034","(Zhang et al., 2015)",https://sci-hub.se/10.1016/j.biortech.2015.05.034,,,
,Sugarcane bagasse 1%,Caldicellulosiruptor saccharolyticus,Batch,7,70°C,2.30 mol H2/mol glucose,"Ivanova, G., Rákhely, G., & Kovács, K. L. (2009). Thermophilic biohydrogen production from energy plants by Caldicellulosiruptor saccharolyticus and comparison with related studies. International Journal of Hydrogen Energy, 34(9), 3659–3670. https://doi.org/10.1016/j.ijhydene.2009.02.082","(Ivanova, Rákhely, & Kovács, 2009)",https://sci-hub.se/10.1016/j.ijhydene.2009.02.082,,,
,Corn leaves 0.9 %,Caldicellulosiruptor saccharolyticus,Batch,7,70°C,1.80 mol H2/mol glucose,"Ivanova, G., Rákhely, G., & Kovács, K. L. (2009). Thermophilic biohydrogen production from energy plants by Caldicellulosiruptor saccharolyticus and comparison with related studies. International Journal of Hydrogen Energy, 34(9), 3659–3670. https://doi.org/10.1016/j.ijhydene.2009.02.083","(Ivanova, Rákhely, & Kovács, 2009)",https://sci-hub.se/10.1016/j.ijhydene.2009.02.083,,,
